id,speed
0,49.049084
1,47.630653
2,40.568436
3,30.124128
4,40.127907
5,25.189564
6,18.747688
7,49.54671
8,48.25503
9,35.77754
10,33.241592
11,24.542349
12,25.792908
13,26.92601
14,28.638073
15,39.906975
16,43.57302
17,48.413395
18,48.890457
19,48.86464
20,46.420715
21,43.290897
22,19.65313
23,32.43338
24,26.007109
25,18.339455
26,22.355116
27,22.401825
28,17.54861
29,11.008354
30,25.334103
31,48.364677
32,49.754066
33,31.327356
34,28.629892
35,25.644299
36,19.259073
37,19.364365
38,46.61456
39,40.168686
40,45.980793
41,48.13413
42,49.20365
43,43.53246
44,19.753527
45,17.73996
46,17.90165
47,10.6453705
48,44.908714
49,49.130688
50,49.13939
51,26.464354
52,25.302738
53,20.144424
54,16.770031
55,20.61638
56,13.415055
57,18.627634
58,29.81081
59,35.536636
60,41.582687
61,37.54043
62,39.455704
63,40.147507
64,44.196438
65,47.773514
66,47.45796
67,46.129665
68,42.57833
69,28.025795
70,21.257826
71,16.942144
72,14.711706
73,15.187262
74,10.812579
75,6.913696
76,42.38267
77,38.68108
78,43.634525
79,47.6906
80,13.756697
81,17.441074
82,20.995453
83,15.234297
84,17.632486
85,13.738749
86,19.32832
87,34.837234
88,45.50408
89,41.41364
90,48.463146
91,48.26317
92,46.17501
93,45.852695
94,27.575626
95,14.392626
96,18.821808
97,10.89946
98,8.422808
99,18.99606
100,41.46817
101,46.950268
102,14.857439
103,17.432144
104,14.499745
105,43.06266
106,35.578312
107,49.55419
108,42.52688
109,14.000649
110,9.790248
111,9.820066
112,19.615587
113,35.223343
114,35.85199
115,48.125233
116,48.24483
117,41.98003
118,27.863068
119,25.897781
120,19.667126
121,17.776487
122,33.655838
123,47.177517
124,47.305153
125,41.018093
126,40.938396
127,39.01171
128,43.221672
129,33.65322
130,49.68044
131,47.217514
132,46.512486
133,27.601326
134,23.555605
135,23.21472
136,39.276768
137,46.6302
138,51.064816
139,47.3388
140,46.9958
141,44.228413
142,24.639309
143,15.143715
144,21.179853
145,18.44008
146,17.992168
147,49.24082
148,51.56542
149,47.903496
150,47.517265
151,16.783718
152,14.68615
153,16.071037
154,8.707499
155,22.00464
156,36.97587
157,44.63791
158,42.06597
159,47.262005
160,48.94864
161,51.096485
162,48.938187
163,47.76961
164,44.875137
165,24.18427
166,14.935131
167,18.920887
168,18.690338
169,18.58158
170,11.5783825
171,11.829877
172,45.21589
173,48.571514
174,44.715584
175,23.424862
176,17.834713
177,16.593529
178,16.869457
179,10.08382
180,45.17639
181,49.157463
182,49.113598
183,48.26065
184,38.5564
185,20.888786
186,18.926409
187,39.39153
188,27.974552
189,49.447983
190,42.026016
191,44.948692
192,36.835896
193,38.238304
194,37.143475
195,38.492947
196,38.925373
197,43.62985
198,38.341743
199,47.720646
200,45.08795
201,23.550838
202,22.888094
203,19.961027
204,16.31163
205,20.730486
206,39.569088
207,41.962387
208,49.116154
209,48.7018
210,44.56828
211,47.91913
212,22.425732
213,10.754281
214,19.766851
215,21.472591
216,16.320522
217,20.526445
218,43.850655
219,48.721878
220,47.21864
221,45.328514
222,27.212297
223,17.710672
224,9.453263
225,25.339682
226,48.813477
227,48.436127
228,17.039253
229,23.709406
230,21.329132
231,18.680792
232,43.902416
233,48.380035
234,46.78614
235,19.440151
236,25.187567
237,20.718567
238,23.054855
239,42.641155
240,34.303783
241,38.866337
242,49.2163
243,49.577293
244,48.6168
245,48.652603
246,27.838486
247,20.253046
248,17.45539
249,19.642616
250,18.535828
251,34.500816
252,43.393906
253,30.408428
254,32.027412
255,46.448963
256,46.6547
257,46.42358
258,43.37521
259,38.931694
260,36.229195
261,31.770947
262,40.71585
263,42.105564
264,30.824907
265,41.258484
266,47.329185
267,45.533817
268,19.130207
269,20.394403
270,18.476171
271,16.834711
272,18.677713
273,14.336429
274,46.697075
275,47.931557
276,47.57189
277,46.960255
278,25.475216
279,14.425894
280,15.175311
281,22.954048
282,20.002024
283,16.258
284,12.217597
285,10.616468
286,48.51477
287,48.554596
288,11.851228
289,16.310684
290,14.890343
291,11.182061
292,9.361823
293,29.310818
294,46.079292
295,48.934124
296,48.31766
297,35.83597
298,20.67603
299,32.14337
300,23.95285
301,20.440218
302,27.319958
303,42.508118
304,41.29076
305,50.2296
306,48.80899
307,49.43455
308,47.22386
309,34.774708
310,18.0418
311,8.211491
312,42.444195
313,35.838776
314,38.985428
315,49.896
316,48.247883
317,38.598785
318,35.99555
319,34.50909
320,43.659233
321,46.37222
322,46.361904
323,46.645824
324,44.388363
325,42.362293
326,43.51524
327,39.140377
328,40.23349
329,39.791264
330,38.316803
331,40.016174
332,42.177273
333,38.66406
334,38.811073
335,44.091095
336,46.578636
337,46.798172
338,14.743458
339,20.58458
340,20.451805
341,25.158922
342,43.434155
343,43.65924
344,48.33134
345,47.37138
346,47.04373
347,17.265322
348,37.99296
349,49.544037
350,48.620758
351,47.73142
352,32.03625
353,15.171766
354,24.148872
355,17.262093
356,17.17618
357,22.524157
358,35.951187
359,44.411255
360,44.96975
361,48.827095
362,16.053337
363,22.604828
364,17.63521
365,15.43212
366,11.593966
367,21.822134
368,42.421696
369,48.116802
370,49.59898
371,48.89836
372,48.4544
373,16.658108
374,16.923725
375,10.077567
376,20.566847
377,29.296507
378,34.32874
379,49.256382
380,32.81765
381,15.8274555
382,17.944332
383,26.275774
384,49.009792
385,47.980495
386,47.820267
387,47.02503
388,42.484856
389,39.836967
390,34.783077
391,35.00515
392,49.00129
393,49.608547
394,47.324364
395,16.937443
396,15.155429
397,25.717316
398,22.550371
399,16.177517
400,10.843853
401,35.183426
402,36.322968
403,49.699436
404,47.30861
405,44.95988
406,34.51697
407,13.947508
408,19.65589
409,18.456175
410,16.055855
411,11.998888
412,44.80264
413,36.980137
414,43.963257
415,49.246273
416,48.596275
417,48.09918
418,47.739685
419,35.171276
420,15.893075
421,11.057817
422,44.650623
423,38.585617
424,48.792072
425,48.72289
426,50.001564
427,41.16941
428,29.850595
429,39.3755
430,39.847164
431,48.207172
432,47.77506
433,45.81136
434,23.434994
435,33.917637
436,28.539627
437,25.887552
438,47.784863
439,47.496258
440,48.547207
441,37.96209
